,carbon_dioxide
1750,0.08370012989908002
1751,0.08519238220819592
1752,0.08671309356749539
1753,0.08826075374821399
1754,0.08983789232436856
1755,0.09144402544814566
1756,0.09325602142421316
1757,0.09492175370505603
1758,0.0966181104025211
1759,0.09834565491767025
1760,0.10010395338858774
1761,0.10215759393451301
1762,0.10398219219438186
1763,0.10584033745020853
1764,0.10773264687009695
1765,0.10965974897626668
1766,0.11197092311920125
1767,0.11396954262931223
1768,0.11600491062517156
1769,0.11807770317307444
1770,0.12018860877698863
1771,0.12270511081206482
1772,0.12489436457550222
1773,0.1271238738421892
1774,0.12939437919744215
1775,0.1317066348512142
1776,0.134448338015518
1777,0.13684641265261663
1778,0.13928858449559683
1779,0.1417756648060385
1780,0.1443094873983324
1781,0.14737959968001899
1782,0.1500064300625154
1783,0.1526825736065896
1784,0.155406903739063
1785,0.15818342488712017
1786,0.16163561977304686
1787,0.16451403728003883
1788,0.16744436263376064
1789,0.17042958458240806
1790,0.17346968689982917
1791,0.1771803385117803
1792,0.18050960258708726
1793,0.18372461787924893
1794,0.1869797470246898
1795,0.19031115640822102
1796,0.1940004830997363
1797,0.19776793363063466
1798,0.20156069409039
1799,0.2055124046160898
1800,0.209647700803604
1801,0.21329942366629104
1802,0.2194027588614553
1803,0.2219014808959427
1804,0.2266236969257096
1805,0.23040323952214814
1806,0.23490465300426572
1807,0.23972941573159293
1808,0.24326280581868082
1809,0.24756688288673895
1810,0.2525598401922435
1811,0.2576165246817846
1812,0.2625341462259775
1813,0.26720766533737317
1814,0.27216748515385564
1815,0.27734952344658054
1816,0.2835170175942496
1817,0.2890739722087733
1818,0.2942199760388032
1819,0.2994405307333702
1820,0.3049053476315977
1821,0.31047634151804954
1822,0.3164913690274839
1823,0.32293973661782316
1824,0.3290485617677913
1825,0.33551984233233983
1826,0.34153529227064156
1827,0.348755641072645
1828,0.3550138200564393
1829,0.36103860315174136
1830,0.3736019098961985
1831,0.37874428611325617
1832,0.3853028994346348
1833,0.39249629104557304
1834,0.39974725799730715
1835,0.4072179545893952
1836,0.41818916229998315
1837,0.42538479953881175
1838,0.4337002332310695
1839,0.44214332048659843
1840,0.45193249840355315
1841,0.4606875483154702
1842,0.4705638925466018
1843,0.4793571358083812
1844,0.4898821119599817
1845,0.5021039433983217
1846,0.5109411399865299
1847,0.5227930823285662
1848,0.5311919609337912
1849,0.5418304446607466
1850,0.5534319301655951
1851,0.5457638720640304
1852,0.6038250613492346
1853,0.604080034772185
1854,0.6121253245449806
1855,0.6098107058992595
1856,0.6204039791794433
1857,0.6264328326196741
1858,0.6322382047220564
1859,0.6447002318775424
1860,0.6571638634407775
1861,0.6729721073819015
1862,0.6143102288000251
1863,0.6201060959452124
1864,0.6276834517576906
1865,0.6346578218076143
1866,0.6385927112613978
1867,0.6449210608814702
1868,0.646486101734251
1869,0.6525186541643261
1870,0.6548005768128098
1871,0.6834947974333205
1872,0.7839310388156535
1873,0.8046227389085162
1874,0.8028025622780102
1875,0.8228948308361258
1876,0.8332842192941562
1877,0.8438162545631148
1878,0.8516530339776136
1879,0.8710648454327806
1880,0.9034445578849294
1881,0.9470601664989982
1882,0.9105687975577493
1883,0.931572394576277
1884,0.9367528164497287
1885,0.9445196731861791
1886,0.9494698141373156
1887,0.9620570748840644
1888,0.9897390701525045
1889,0.9896204137974713
1890,1.0122054055959002
1891,1.02401197226638
1892,1.0410099039310483
1893,1.0367195815527304
1894,1.0658177180970292
1895,1.0917473436556646
1896,1.1061937780171025
1897,1.12692033400454
1898,1.1507218449530516
1899,1.1908809486224676
1900,1.217713460935677
1901,1.3003084418863542
1902,1.318524982646077
1903,1.394863380871348
1904,1.4300604896884914
1905,1.49414154671629
1906,1.5569248152902342
1907,1.6485392219343016
1908,1.6342491813649767
1909,1.6674275642630627
1910,1.7098935707491565
1911,1.6670291385538176
1912,1.6694148825984494
1913,1.708458734898522
1914,1.6193464181734691
1915,1.5990610666235696
1916,1.6636546367999872
1917,1.697952198741692
1918,1.6920213905514585
1919,1.590693971727587
1920,1.7151492643620667
1921,1.653757066409362
1922,1.6958526564890237
1923,1.8195271382351597
1924,1.8364923613270452
1925,1.8530021236328973
1926,1.8449443708322046
1927,1.9851432547682664
1928,1.992775559003519
1929,2.10073725023519
1930,2.0939424098053885
1931,2.0001352374213703
1932,1.8137479975382609
1933,1.8537091928049498
